"","logFC","logCPM","LR","PValue","FDR"
"ENSG00000112096",1.82384407601025,6.80290993210508,51.3989079389486,7.53804606129479e-13,8.78234799084131e-11
"ENSG00000168653",0.563059548481293,9.1057226461792,51.381324309828,7.60586614279605e-13,8.78234799084131e-11
"ENSG00000225131",0.881099211435671,5.15514790188438,51.2852848965634,7.98721099464415e-13,9.12559875114396e-11
"ENSG00000272579",-2.3138961682814,4.77043477381368,51.2525495650073,8.12151867742884e-13,9.18239205466798e-11
"ENSG00000008517",3.9660461790418,2.8320413202079,51.1497762878541,8.55804335323469e-13,9.57618583051642e-11
"ENSG00000106803",0.549307838748903,7.98395599078419,51.0440826270683,9.03147460611958e-13,9.93609229733101e-11
"ENSG00000198832",1.07735710344108,5.33695962827607,51.0372924155057,9.06277075212613e-13,9.93609229733101e-11
"ENSG00000180573",1.85133699871588,7.23571726826955,50.0067167278879,1.5322059508474e-12,1.66305633904977e-10
"ENSG00000186940",0.674611738526148,3.07074471711461,49.9127198017538,1.60739253683121e-12,1.72738995987781e-10
"ENSG00000170759",-0.900649033769248,8.26280116045065,49.862861081014,1.64876103181935e-12,1.75447570974188e-10
"ENSG00000265579",-3.39359070496795,4.44792439219283,49.5673377420921,1.91678424571623e-12,2.01988118475767e-10
"ENSG00000137628",3.69392703146439,6.15704593524352,49.3220645746301,2.17205628602223e-12,2.26687489696974e-10
"ENSG00000171855",9.34096083899146,4.33025947735312,48.87808595406,2.72377021144525e-12,2.81560017857398e-10
"ENSG00000228532",-0.678117606302138,5.59264313738134,48.6089681013837,3.12437223200421e-12,3.19923926473336e-10
"ENSG00000148730",-1.05753757535917,7.0704831113087,48.2132150914411,3.82303137569704e-12,3.87805444409492e-10
"ENSG00000238000",0.834312837394085,4.68618407166622,48.0596638964382,4.13444849847175e-12,4.11772011488192e-10
"ENSG00000099246",0.851167954632459,8.9795584709818,48.0593211423171,4.13517129650018e-12,4.11772011488192e-10
"ENSG00000137168",-2.27821474718454,6.00520967141521,47.9293131687593,4.41865711688353e-12,4.36000948605944e-10
"ENSG00000218227",-0.448750253895228,7.89269190614631,47.4226270669173,5.72183867383601e-12,5.59503035728073e-10
"ENSG00000170421",0.904280185673321,5.98281647224396,47.2117186825669,6.37183509581737e-12,6.17499090446445e-10
"ENSG00000132329",1.33468577679232,5.78262979145329,47.0609092435726,6.88145648114521e-12,6.55751689109214e-10
"ENSG00000265808",-0.969108434581943,7.57590244634247,47.0592210116815,6.88738645277782e-12,6.55751689109214e-10
"ENSG00000138646",5.18172271441668,6.29896911062625,46.7847997615004,7.92255248413179e-12,7.47751170980578e-10
"ENSG00000163950",-2.0647153189276,5.24780948336093,46.6984792914211,8.27932305853103e-12,7.74687693769791e-10
"ENSG00000214194",-0.991571733237525,6.84097217246408,46.5497612711719,8.93211342325385e-12,8.2862529141878e-10
